,City,Country,Local Date,Latitude,Longitude,Max Daily Temperature (Â°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
0,Te Anau,NZ,2019-3-31 12:25,-45.41,167.72,51.55,86,68,18.03
1,Barrow,AR,2019-3-31 12:22,-38.31,-60.23,83.5,38,12,7.74
2,Albany,US,2019-3-31 12:22,42.65,-73.75,44.01,100,90,6.93
3,Ilulissat,GL,2019-3-31 11:50,69.22,-51.1,17.6,61,75,13.87
4,Lahat,ID,2019-3-31 12:27,-3.78,103.55,71.8,98,88,4.72
5,Bluff,AU,2019-3-31 12:17,-23.58,149.07,54.61,62,0,9.42
6,Hithadhoo,MV,2019-3-31 12:24,-0.6,73.08,83.86,100,12,5.95
7,Los Llanos de Aridane,ES,2019-3-31 12:21,28.66,-17.92,68.0,60,40,4.7
8,Blackwater,GB,2019-3-31 12:30,51.33,-0.78,52.0,57,0,17.22
9,Yaan,NG,2019-3-31 12:30,7.38,8.57,90.16,57,44,2.82
10,Mataura,NZ,2019-3-31 12:20,-46.19,168.86,63.0,74,36,3.0
11,Dikson,RU,2019-3-31 12:25,73.51,80.55,29.5,94,44,22.06
12,Paso de los Toros,UY,2019-3-31 12:30,-32.81,-56.52,80.35,86,20,4.05
13,Mnogovershinnyy,RU,2019-3-31 12:30,53.94,139.92,8.44,78,36,2.26
14,Tiksi,RU,2019-3-31 12:25,71.64,128.87,19.15,76,80,6.29
15,Mar del Plata,AR,2019-3-31 12:22,-46.43,-67.52,75.94,28,0,11.21
16,Rikitea,PF,2019-3-31 12:22,-23.12,-134.97,76.66,100,56,19.48
17,Zyryanka,RU,2019-3-31 12:30,65.73,150.89,-1.64,58,0,2.37
18,Chapais,CA,2019-3-31 11:56,49.78,-74.86,26.6,73,90,12.75
19,Faya,SA,2019-3-31 12:0,18.39,42.45,66.2,39,0,10.29
20,Valparaiso,US,2019-3-31 12:25,41.47,-87.06,37.0,40,90,13.87
21,Hermon,GB,2019-3-31 12:30,51.96,-4.61,54.0,62,56,5.82
22,Leningradskiy,RU,2019-3-31 12:26,69.38,178.42,-2.45,61,0,5.61
23,Beckley,US,2019-3-31 12:25,37.78,-81.19,39.99,74,75,18.34
24,Khatanga,RU,2019-3-31 12:25,71.98,102.47,30.22,89,64,15.68
25,New Norfolk,AU,2019-3-31 12:21,-42.78,147.06,48.2,66,20,8.05
26,Port Alfred,ZA,2019-3-31 12:24,-33.59,26.89,70.27,89,100,3.6
27,Hilo,US,2019-3-31 12:19,19.71,-155.08,73.99,77,40,4.7
28,Chicama,PE,2019-3-31 11:0,-7.84,-79.15,73.4,78,20,10.29
29,Charcas,MX,2019-3-31 12:30,23.13,-101.11,65.5,54,8,10.09
30,Usilampatti,IN,2019-3-31 11:30,9.96,77.79,86.0,48,20,2.82
31,Butaritari,KI,2019-3-31 12:24,3.07,172.79,81.79,100,76,15.23
32,Talakan,RU,2019-3-31 12:30,50.29,130.28,13.39,68,48,4.27
33,Punta Arenas,CL,2019-3-31 12:12,-53.16,-70.91,57.2,58,40,20.8
34,Cabo San Lucas,MX,2019-3-31 12:20,22.89,-109.91,86.0,47,5,8.05
35,Luderitz,NA,2019-3-31 12:25,-26.65,15.16,65.05,75,0,18.25
36,Saulkrasti,LV,2019-3-31 12:30,57.26,24.42,35.6,80,20,9.17
37,Loandjili,CG,2019-3-31 12:0,-4.77,11.87,80.6,83,20,5.82
38,Parambu,BR,2019-3-31 12:30,-6.21,-40.7,81.25,74,92,7.96
39,Busselton,AU,2019-3-31 12:20,-33.64,115.35,70.0,34,88,7.74
40,Vaini,IN,2019-3-31 12:24,15.34,74.49,72.7,83,0,3.38
41,Lata,IN,2019-3-31 12:24,30.78,78.62,45.07,56,0,2.59
42,Tecoanapa,MX,2019-3-31 11:47,16.99,-99.26,84.2,62,5,10.29
43,Guerrero Negro,MX,2019-3-31 12:25,27.97,-114.04,78.37,35,0,4.83
44,Ponta do Sol,BR,2019-3-31 12:23,-20.63,-46.0,82.87,55,0,4.5
45,Murmashi,RU,2019-3-31 12:0,68.82,32.82,28.4,54,0,6.71
46,Lorengau,PG,2019-3-31 12:26,-2.02,147.27,82.33,100,88,10.09
47,Cape Town,ZA,2019-3-31 12:17,-33.93,18.42,66.0,67,40,8.05
48,Hobart,AU,2019-3-31 12:21,-42.88,147.33,48.2,66,20,8.05
49,Jamestown,AU,2019-3-31 12:24,-33.21,138.6,41.2,84,0,2.71
50,Umm Lajj,SA,2019-3-31 12:17,25.02,37.27,64.06,95,20,11.99
51,Serang,ID,2019-3-31 12:30,-6.12,106.15,81.0,83,20,4.7
52,Zhanaozen,KZ,2019-3-31 12:30,43.35,52.85,35.26,79,8,7.85
53,Anadyr,RU,2019-3-31 12:22,64.73,177.51,33.01,94,75,20.13
54,Vanimo,PG,2019-3-31 12:25,-2.67,141.3,83.32,99,44,15.23
55,Kudahuvadhoo,MV,2019-3-31 12:27,2.67,72.89,84.4,100,0,2.93
56,Tongling,CN,2019-3-31 12:30,30.93,117.81,44.62,73,0,5.39
57,Puerto Ayora,EC,2019-3-31 12:17,-0.74,-90.35,84.2,70,20,11.41
58,Strezhevoy,RU,2019-3-31 11:30,60.73,77.6,30.2,92,75,8.95
59,Sungairaya,ID,2019-3-31 12:30,0.7,108.9,75.76,96,0,1.25
60,Charters Towers,AU,2019-3-31 12:30,-20.07,146.27,70.0,94,64,8.97
61,Saskylakh,RU,2019-3-31 12:24,71.97,114.09,18.7,73,0,12.66
62,Gweta,BW,2019-3-31 12:30,-20.21,25.26,84.22,34,68,6.4
63,Nelson Bay,AU,2019-3-31 12:20,-32.72,152.14,57.0,76,64,6.93
64,Bredasdorp,ZA,2019-3-31 12:15,-34.53,20.04,66.2,52,36,16.11
65,Komsomolskiy,RU,2019-3-31 12:23,67.55,63.78,26.89,90,88,19.6
66,Tuktoyaktuk,CA,2019-3-31 11:0,69.44,-133.03,26.6,92,90,17.22
67,Machhlishahr,IN,2019-3-31 11:30,25.69,82.41,84.2,39,12,3.36
68,Namatanai,PG,2019-3-31 12:30,-3.66,152.44,78.82,100,64,8.75
69,Bielsko-Biala,PL,2019-3-31 12:30,49.82,19.05,57.2,50,0,9.17
70,Okahandja,NA,2019-3-31 12:30,-21.98,16.91,66.2,77,80,4.7
71,Hermanus,ZA,2019-3-31 12:16,-34.42,19.24,66.0,69,12,7.0
72,Pontianak,ID,2019-3-31 12:30,-0.02,109.34,79.45,95,24,3.38
73,Isangel,VU,2019-3-31 12:26,-19.55,169.27,78.73,100,68,11.21
74,Longyearbyen,NO,2019-3-31 11:50,78.22,15.63,5.0,71,20,6.93
75,Richards Bay,ZA,2019-3-31 12:28,-28.77,32.06,78.55,67,8,10.42
76,Galle,US,2019-3-31 12:30,29.74,-97.91,53.01,46,1,13.87
77,Avarua,CK,2019-3-31 12:0,-21.21,-159.78,77.0,94,92,9.17
78,Qaanaaq,GL,2019-3-31 12:22,77.48,-69.36,-2.09,80,24,5.84
79,Benguela,AO,2019-3-31 12:30,-12.58,13.4,83.59,94,12,3.27
80,Aklavik,CA,2019-3-31 11:30,68.22,-135.01,37.4,94,90,18.34
81,Grindavik,IS,2019-3-31 12:0,63.84,-22.43,35.6,80,75,19.46
82,Hofn,IS,2019-3-31 11:0,64.25,-15.21,41.0,86,90,12.75
83,Saint-Philippe,CA,2019-3-31 12:23,45.36,-73.48,37.0,90,90,6.93
84,Dzhebariki-Khaya,RU,2019-3-31 12:30,62.22,135.8,1.6,59,0,2.37
85,Ushuaia,AR,2019-3-31 11:0,-54.81,-68.31,51.8,71,75,17.22
86,Port Elizabeth,US,2019-3-31 12:24,39.31,-74.98,53.6,71,90,18.34
87,Chake Chake,TZ,2019-3-31 12:30,-5.25,39.77,85.03,97,56,13.11
88,Khani,GE,2019-3-31 12:0,41.96,42.96,53.6,50,75,38.03
89,Hami,CN,2019-3-31 12:24,42.84,93.51,44.53,60,48,2.04
90,Castro,CL,2019-3-31 11:0,-42.48,-73.76,53.6,100,90,2.24
91,Sabha,LY,2019-3-31 12:26,27.03,14.43,65.95,34,48,2.93
92,San Patricio,PY,2019-3-31 12:24,-26.98,-56.83,89.44,61,68,3.49
93,Provideniya,RU,2019-3-31 12:24,64.42,-173.23,27.97,98,80,8.63
94,Oranjestad,AW,2019-3-31 12:0,12.52,-70.03,86.0,66,40,25.28
95,Nazas,MX,2019-3-31 12:30,25.22,-104.11,69.55,34,0,7.4
96,Narsaq,GL,2019-3-31 11:50,60.91,-46.05,23.0,45,20,10.29
97,Carnarvon,ZA,2019-3-31 12:24,-30.97,22.13,71.26,33,8,15.01
98,Lensk,RU,2019-3-31 12:28,60.71,114.91,13.66,67,0,3.71
99,Cam Ranh,VN,2019-3-31 11:30,11.92,109.15,82.4,83,40,1.12
100,East London,ZA,2019-3-31 12:0,-33.02,27.91,68.0,94,20,2.24
101,Boden,SE,2019-3-31 11:50,65.83,21.69,33.8,59,0,2.24
102,Manicore,BR,2019-3-31 12:27,-5.81,-61.3,89.98,65,36,2.71
103,Saint George,GR,2019-3-31 11:50,39.45,22.34,53.6,53,0,5.82
104,Mount Gambier,AU,2019-3-31 11:0,-37.83,140.78,51.8,93,90,4.7
105,Upernavik,GL,2019-3-31 12:23,72.79,-56.15,10.33,100,56,7.18
106,Sula,PH,2019-3-31 12:30,14.22,122.92,80.53,100,12,13.0
107,Hamilton,CA,2019-3-31 12:26,43.26,-79.87,37.0,80,90,18.34
108,Severo-Kurilsk,RU,2019-3-31 12:22,50.68,156.12,27.07,100,64,4.05
109,Evensk,RU,2019-3-31 12:26,61.92,159.24,27.7,88,64,17.02
110,Dunedin,NZ,2019-3-31 12:26,-45.87,170.5,62.01,79,20,11.99
111,Kaitangata,NZ,2019-3-31 12:23,-46.28,169.85,62.01,70,56,1.99
112,Hambantota,LK,2019-3-31 12:26,6.12,81.12,82.33,100,0,7.63
113,Nur,PL,2019-3-31 12:26,52.67,22.32,44.01,67,0,15.79
114,Tongliao,CN,2019-3-31 12:27,43.61,122.27,18.25,70,0,4.38
115,Rexburg,US,2019-3-31 12:30,43.82,-111.79,50.0,45,1,3.36
116,Tobol,SE,2019-3-31 11:50,59.83,12.54,39.2,38,8,13.87
117,Yumen,CN,2019-3-31 12:27,40.29,97.04,32.47,62,8,1.7
118,Mulanje,MW,2019-3-31 12:31,-16.03,35.5,71.17,74,0,5.06
119,Beringovskiy,RU,2019-3-31 12:26,63.05,179.32,31.39,93,80,11.99
120,Victoria,BN,2019-3-31 11:30,5.28,115.24,82.4,78,75,2.24
121,Meulaboh,ID,2019-3-31 12:27,4.14,96.13,79.72,100,88,2.71
122,Businga,CD,2019-3-31 12:31,3.34,20.89,75.4,88,20,1.7
123,Grand-Lahou,CI,2019-3-31 12:31,5.24,-5.0,86.29,70,12,8.75
124,Rio Grande,BR,2019-3-31 12:0,-32.03,-52.1,84.2,54,40,3.36
125,Colesberg,ZA,2019-3-31 12:31,-30.72,25.1,68.65,28,48,6.4
126,Yellowknife,CA,2019-3-31 12:17,62.45,-114.38,35.01,64,75,14.99
127,Nikolsk,RU,2019-3-31 12:31,59.53,45.45,37.06,96,92,10.09
128,Verkh-Usugli,RU,2019-3-31 12:31,52.7,115.17,4.03,56,0,2.37
129,Constitucion,MX,2019-3-31 12:20,23.99,-104.67,71.6,24,20,4.7
130,Bathsheba,BB,2019-3-31 11:0,13.22,-59.52,84.2,66,40,18.34
131,Atuona,PF,2019-3-31 12:23,-9.8,-139.03,81.52,100,68,13.0
132,Morondava,MG,2019-3-31 12:28,-20.3,44.28,80.53,81,0,7.63
133,Aksarka,RU,2019-3-31 12:31,66.56,67.8,20.59,75,0,12.55
134,Port Hedland,AU,2019-3-31 11:30,-20.31,118.58,78.8,69,0,6.93
135,Tsogni,GA,2019-3-31 12:31,-2.79,10.1,83.95,94,24,8.97
136,Baglung,NP,2019-3-31 12:31,28.27,83.59,43.9,76,8,2.15
137,Tasiilaq,GL,2019-3-31 11:50,65.61,-37.64,24.8,79,56,34.45
138,Alofi,NU,2019-3-31 12:0,-19.06,-169.92,75.2,100,44,2.24
139,Ouadda,CF,2019-3-31 12:26,8.07,22.4,88.0,59,36,2.82
140,Pokhara,NP,2019-3-31 12:31,28.21,83.99,51.64,66,20,3.71
141,Eyl,SO,2019-3-31 12:26,7.98,49.82,78.19,100,64,8.41
142,Nikolskoye,RU,2019-3-31 12:21,59.7,30.79,37.4,86,75,8.95
143,Ribeira Grande,PT,2019-3-31 12:0,38.52,-28.7,57.2,58,75,9.17
144,Takaka,NZ,2019-3-31 12:24,-40.86,172.81,66.99,94,92,5.01
145,Bethel,US,2019-3-31 11:53,60.79,-161.76,33.8,80,1,2.71
146,Sioux Lookout,CA,2019-3-31 11:0,50.1,-91.92,30.2,42,75,9.17
147,Pisco,PE,2019-3-31 11:0,-13.71,-76.2,71.6,30,8,27.51
148,Xinqing,CN,2019-3-31 12:31,48.28,129.53,6.46,68,24,2.26
149,Dongsheng,CN,2019-3-31 12:25,29.72,112.52,47.32,82,0,2.37
150,Izazi,TZ,2019-3-31 12:31,-7.24,35.72,71.17,87,36,2.59
151,Kapaa,US,2019-3-31 12:18,22.08,-159.32,71.01,82,40,6.93
152,Marienburg,DE,2019-3-31 12:30,52.12,9.98,50.0,52,0,9.17
153,Inuvik,CA,2019-3-31 12:16,68.36,-133.71,37.4,96,90,19.46
154,Aksu,KZ,2019-3-31 11:30,52.04,76.93,35.6,93,90,6.71
155,Lavrentiya,RU,2019-3-31 12:22,65.58,-170.99,22.75,91,80,4.5
156,Natal,BR,2019-3-31 11:0,-5.81,-35.21,80.6,88,75,6.93
157,Bin Qirdan,TN,2019-3-31 12:31,33.14,11.22,63.7,43,92,8.97
158,Mahebourg,MU,2019-3-31 12:19,-20.41,57.7,78.8,78,20,4.7
159,Kilindoni,TZ,2019-3-31 12:31,-7.91,39.67,84.67,100,8,12.21
160,Gouyave,GD,2019-3-31 12:0,12.16,-61.73,84.2,70,20,21.92
161,Ust-Ishim,RU,2019-3-31 12:31,57.69,71.17,31.57,85,88,11.1
162,Tromso,NO,2019-3-31 12:27,69.65,18.96,28.99,79,90,11.41
163,Libourne,FR,2019-3-31 12:31,44.91,-0.24,66.2,25,0,5.82
164,Sitka,US,2019-3-31 12:15,37.17,-99.65,44.01,40,0,4.0
165,Chuy,UY,2019-3-31 12:23,-33.69,-53.46,77.2,93,0,8.19
166,Kavieng,PG,2019-3-31 12:23,-2.57,150.8,81.16,100,92,9.19
167,Pangody,RU,2019-3-31 12:31,65.85,74.49,29.86,93,88,15.46
168,Henties Bay,NA,2019-3-31 12:2,-22.12,14.28,66.99,81,20,8.01
169,Ostrovnoy,RU,2019-3-31 12:25,68.05,39.51,24.1,81,12,15.79
170,Kuryk,KZ,2019-3-31 12:31,43.18,51.68,40.57,88,8,6.4
171,Port Hardy,CA,2019-3-31 11:0,50.7,-127.42,41.0,100,90,2.26
172,Norman Wells,CA,2019-3-31 11:24,65.28,-126.83,39.2,60,90,8.05
173,Gospic,HR,2019-3-31 12:0,44.55,15.37,51.8,66,0,3.36
174,Cidreira,BR,2019-3-31 12:19,-30.17,-50.22,81.43,72,56,5.17
175,Bambous Virieux,MU,2019-3-31 12:24,-20.34,57.76,78.8,78,20,4.7
176,Chokurdakh,RU,2019-3-31 12:23,70.62,147.9,10.69,66,44,2.93
177,Mitsamiouli,KM,2019-3-31 12:0,-11.38,43.28,80.6,88,20,4.7
178,Niquero,CU,2019-3-31 12:31,20.04,-77.58,82.87,82,8,9.98
179,Biloxi,US,2019-3-31 12:27,30.4,-88.89,48.99,81,90,12.75
180,Esperance,TT,2019-3-31 12:17,10.24,-61.45,89.6,55,20,14.99
181,Geraldton,CA,2019-3-31 12:0,49.72,-86.95,28.4,36,75,9.17
182,Asyut,EG,2019-3-31 12:0,27.18,31.19,59.0,30,0,14.99
183,Woodward,US,2019-3-31 12:15,36.43,-99.39,46.4,30,1,4.83
184,Belmonte,PT,2019-3-31 12:17,40.36,-7.35,59.0,56,32,4.0
185,Teya,MX,2019-3-31 12:15,21.05,-89.07,89.6,46,75,4.7
186,Durusu,TR,2019-3-31 12:0,37.53,40.83,55.4,76,0,9.17
187,Wanning,AT,2019-3-31 12:23,48.64,13.53,60.8,38,20,1.12
188,Nisia Floresta,BR,2019-3-31 12:0,-6.09,-35.21,78.8,94,90,5.82
189,Calatrava,PH,2019-3-31 12:0,10.6,123.48,77.0,73,40,6.93
190,Kahului,US,2019-3-31 12:21,20.89,-156.47,72.0,73,20,4.72
191,Hirara,JP,2019-3-31 12:27,24.8,125.28,69.01,100,88,20.04
192,Conceicao do Araguaia,BR,2019-3-31 12:30,-8.26,-49.26,83.5,99,12,5.95
193,Pandan,PH,2019-3-31 12:31,11.72,122.09,80.08,99,0,18.25
194,Komyshuvakha,UA,2019-3-31 12:31,48.64,37.46,45.52,74,0,2.82
195,Vardo,US,2019-3-31 12:24,39.62,-77.74,53.6,42,90,23.04
196,Nanortalik,GL,2019-3-31 12:23,60.14,-45.24,27.25,100,44,27.98
197,Naze,NG,2019-3-31 11:0,5.43,7.07,87.8,66,75,5.82
198,Heerlen,NL,2019-3-31 12:31,50.89,5.98,53.01,66,20,16.11
199,Talnakh,RU,2019-3-31 12:24,69.49,88.39,27.97,87,88,16.8
200,Eureka,US,2019-3-31 12:31,40.8,-124.16,59.0,81,40,6.93
201,Hovd,NO,2019-3-31 12:25,63.83,10.7,34.0,90,75,27.51
202,Barberton,US,2019-3-31 12:29,41.01,-81.61,30.0,68,90,16.11
203,Petropavlovsk-Kamchatskiy,RU,2019-3-31 11:0,53.05,158.65,19.4,85,8,6.71
204,Beroroha,MG,2019-3-31 12:31,-21.68,45.17,72.25,53,0,3.71
205,Isabela,PH,2019-3-31 12:31,10.2,122.99,70.27,87,0,3.83
206,Doctor Arroyo,MX,2019-3-31 12:31,23.67,-100.18,63.25,70,100,3.94
207,Pinellas Park,US,2019-3-31 12:28,27.84,-82.7,84.99,54,75,9.17
208,Sur,OM,2019-3-31 12:26,22.57,59.53,79.45,79,0,2.15
209,Neuquen,AR,2019-3-31 12:0,-38.95,-68.06,84.2,35,0,4.7
210,Kruisfontein,ZA,2019-3-31 12:23,-34.0,24.73,60.55,86,56,6.17
211,Sinnamary,GF,2019-3-31 12:25,5.38,-52.96,81.7,90,68,9.75
212,Kikwit,CD,2019-3-31 12:31,-5.04,18.82,79.72,85,0,3.15
213,Port Blair,IN,2019-3-31 12:25,11.67,92.75,84.13,100,0,6.06
214,Arraial do Cabo,BR,2019-3-31 11:0,-22.97,-42.02,82.4,54,20,9.17
215,Namibe,AO,2019-3-31 12:25,-15.19,12.15,79.63,96,36,8.08
216,Blagoyevo,RU,2019-3-31 12:31,63.37,47.92,26.35,71,20,4.94
217,Tautira,PF,2019-3-31 12:22,-17.73,-149.15,84.2,70,20,4.7
218,Porto Novo,BR,2019-3-31 11:0,-23.68,-45.44,82.4,48,40,2.24
219,Jiaozuo,CN,2019-3-31 12:31,35.21,113.25,31.12,52,0,1.7
220,Bayevo,RU,2019-3-31 12:31,53.27,80.77,36.97,92,92,9.19
221,Redlands,US,2019-3-31 12:31,34.06,-117.19,82.4,14,5,2.71
222,Ishigaki,JP,2019-3-31 12:31,24.34,124.16,68.92,100,92,21.83
223,Tilichiki,RU,2019-3-31 12:31,60.47,166.1,31.84,89,88,10.2
224,Tuatapere,NZ,2019-3-31 12:20,-46.13,167.69,63.0,74,24,3.0
225,San Quintin,PH,2019-3-31 12:25,17.54,120.52,71.35,90,64,3.15
226,Havre-Saint-Pierre,CA,2019-3-31 12:0,50.23,-63.6,39.2,100,90,14.99
227,Georgetown,GY,2019-3-31 11:0,6.8,-58.16,89.6,70,75,13.87
228,Teahupoo,PF,2019-3-31 12:22,-17.83,-149.27,84.2,70,20,4.7
229,Payo,ID,2019-3-31 12:31,-3.75,103.64,71.8,98,88,4.72
230,Mareeba,AU,2019-3-31 12:25,-16.99,145.42,78.8,83,90,6.93
231,Caravelas,BR,2019-3-31 12:27,-17.73,-39.27,81.52,100,0,15.46
232,Karratha,AU,2019-3-31 12:23,-20.74,116.85,73.24,71,8,3.04
233,Saldanha,PT,2019-3-31 12:24,41.42,-6.55,62.26,36,92,4.38
234,Margate,AU,2019-3-31 12:31,-43.03,147.26,48.2,66,20,8.05
235,Faxinal,BR,2019-3-31 12:31,-24.0,-51.32,84.85,62,24,3.6
236,Hasaki,JP,2019-3-31 11:37,35.73,140.83,41.0,100,20,3.36
237,Davila,PH,2019-3-31 12:0,18.47,120.58,75.2,83,40,19.48
238,Tougan,BF,2019-3-31 12:31,13.07,-3.07,100.6,23,8,3.04
239,Linxia,CN,2019-3-31 12:27,35.6,103.21,21.31,55,32,2.15
240,General Roca,AR,2019-3-31 12:0,-39.03,-67.58,84.2,35,0,4.7
241,Shimoda,JP,2019-3-31 12:29,34.7,138.93,52.0,100,0,12.44
242,Kodiak,US,2019-3-31 12:22,39.95,-94.76,42.01,18,1,4.7
243,Srednekolymsk,RU,2019-3-31 12:25,67.46,153.71,-2.9,62,0,2.93
244,Loiza,PR,2019-3-31 12:30,18.43,-65.88,84.2,66,40,10.29
245,Thompson,CA,2019-3-31 11:0,55.74,-97.86,26.6,53,75,11.41
246,Touros,BR,2019-3-31 11:0,-5.2,-35.46,78.8,100,90,5.82
247,Aden,YE,2019-3-31 12:31,12.79,45.03,80.53,97,0,21.16
248,Assiniboia,CA,2019-3-31 12:31,49.63,-105.99,34.18,77,32,6.96
249,Golakganj,IN,2019-3-31 12:31,26.1,89.83,65.68,97,56,5.84
250,Port Lincoln,AU,2019-3-31 12:30,-34.72,135.86,56.95,100,36,2.93
251,Vila,IT,2019-3-31 12:27,45.18,8.4,68.0,15,0,2.24
252,Sobolevo,RU,2019-3-31 12:27,54.43,31.9,50.2,61,92,18.03
253,Rindal,NO,2019-3-31 12:31,63.05,9.21,28.15,80,80,5.84
254,Moussoro,TD,2019-3-31 12:31,13.64,16.49,88.45,15,0,11.21
255,Vangaindrano,MG,2019-3-31 12:27,-23.35,47.6,69.82,98,100,2.15
256,Faanui,PF,2019-3-31 12:24,-16.48,-151.75,83.05,100,64,4.5
257,Salalah,OM,2019-3-31 11:50,17.01,54.1,80.6,69,20,5.82
258,Bay Roberts,CA,2019-3-31 12:30,47.58,-53.28,63.0,50,75,20.8
259,San Rafael,AR,2019-3-31 12:27,-34.61,-68.33,78.64,52,0,6.85
260,San Sebastian Huehuetenango,GT,2019-3-31 12:31,15.39,-91.62,79.0,21,8,1.99
261,Ancud,CL,2019-3-31 11:0,-41.87,-73.83,53.6,100,90,2.24
262,Baykit,RU,2019-3-31 12:27,61.68,96.39,32.29,91,88,7.4
263,Nikki,BJ,2019-3-31 12:31,9.94,3.21,96.37,30,88,3.71
