,City,Country,Local Date,Latitude,Longitude,Max Daily Temperature (Â°F),Humidity (%),Cloudiness (%),Wind Speed (mph)
264,Raudeberg,NO,2019-3-31 12:25,61.99,5.14,36.0,74,75,12.75
265,Whitehorse,CA,2019-3-31 12:28,60.72,-135.06,39.0,59,40,8.05
266,Codrington,AU,2019-3-31 12:23,-28.95,153.24,59.0,93,0,3.94
267,Irtyshskiy,RU,2019-3-31 12:31,58.33,68.13,32.65,89,88,13.0
268,Pacific Grove,US,2019-3-31 12:31,36.62,-121.92,69.01,55,1,6.93
269,Lima,PE,2019-3-31 12:22,-12.06,-77.04,78.8,61,0,10.29
270,Mandalgovi,MN,2019-3-31 12:31,45.76,106.27,21.4,63,12,7.63
271,Benicarlo,ES,2019-3-31 12:25,40.42,0.43,55.0,93,92,3.0
272,Kurilsk,RU,2019-3-31 12:24,45.23,147.88,22.21,100,24,6.96
273,Mogadishu,SO,2019-3-31 12:23,2.04,45.34,83.77,97,0,15.68
274,Aykhal,RU,2019-3-31 12:31,65.95,111.51,23.74,73,44,8.86
275,Cocachacra,PE,2019-3-31 12:31,-17.09,-71.76,76.48,55,0,3.83
276,Nizhnevartovsk,RU,2019-3-31 12:0,60.93,76.58,30.2,92,40,8.95
277,Pevek,RU,2019-3-31 12:23,69.7,170.27,-6.95,60,0,5.61
278,Zabaykalsk,CN,2019-3-31 12:25,49.64,117.33,8.62,60,0,4.72
279,Cabedelo,BR,2019-3-31 12:0,-6.97,-34.84,80.6,94,75,2.24
280,Arti,RU,2019-3-31 12:31,56.43,58.53,30.67,89,24,10.09
281,Lukh,AF,2019-3-31 12:31,36.76,68.87,46.42,87,0,2.71
282,Bougouni,ML,2019-3-31 12:31,11.42,-7.49,98.35,31,36,4.27
283,Belfast,GB,2019-3-31 12:25,54.6,-5.93,48.2,61,20,6.93
284,Puerto Baquerizo Moreno,EC,2019-3-31 12:0,-0.9,-89.6,87.8,62,20,10.29
285,Bafq,IR,2019-3-31 12:31,31.6,55.4,59.92,64,12,2.15
286,Yulara,AU,2019-3-31 11:0,-25.24,130.99,59.0,33,0,5.82
287,Abha,SA,2019-3-31 12:0,18.22,42.5,66.2,39,0,10.29
288,Maizuru,JP,2019-3-31 12:30,35.47,135.35,44.01,88,92,3.0
289,Kozachi Laheri,UA,2019-3-31 12:0,46.71,32.99,48.2,66,0,6.71
290,Port Hawkesbury,CA,2019-3-31 12:30,45.62,-61.36,59.0,81,75,17.22
291,Hamina,FI,2019-3-31 12:27,60.57,27.2,33.8,55,0,5.82
292,Poum,MK,2019-3-31 12:0,41.28,20.71,55.4,19,0,4.7
293,Rio Branco,BR,2019-3-31 12:0,-9.98,-67.82,89.6,59,40,8.05
294,Phan Thiet,VN,2019-3-31 12:31,10.93,108.1,80.35,94,8,10.65
295,Mbumi,TZ,2019-3-31 12:31,-7.91,39.21,76.93,90,12,4.27
296,Sao Joao da Barra,BR,2019-3-31 11:0,-21.64,-41.05,87.8,43,40,6.93
297,Port-Gentil,GA,2019-3-31 12:0,-0.72,8.78,78.8,88,20,2.24
298,Mahibadhoo,MV,2019-3-31 12:27,3.78,72.97,84.22,100,0,0.92
299,Pinega,RU,2019-3-31 12:31,64.7,43.39,27.43,72,36,5.28
300,Saint Anthony,US,2019-3-31 12:20,43.97,-111.68,48.0,45,1,3.36
301,Novoanninskiy,RU,2019-3-31 12:4,50.53,42.67,48.0,75,0,1.99
302,Ahipara,NZ,2019-3-31 12:23,-35.17,173.16,67.3,99,92,10.09
303,Northam,GB,2019-3-31 12:25,51.04,-4.21,52.0,81,20,11.41
304,Rawson,AR,2019-3-31 12:26,-43.3,-65.11,86.47,29,0,9.75
305,Ewa Beach,US,2019-3-31 12:23,21.32,-158.01,73.99,73,1,3.36
306,Taft,PH,2019-3-31 12:31,11.9,125.42,71.8,100,0,7.63
307,Hastings,NZ,2019-3-31 12:31,-39.64,176.84,65.77,94,80,18.48
308,Along,IN,2019-3-31 12:31,28.17,94.8,57.31,95,92,1.36
309,Kaeo,NZ,2019-3-31 12:8,-35.1,173.78,68.0,96,100,15.68
310,Lebu,ET,2019-3-31 12:25,8.96,38.73,62.53,51,32,4.72
311,Ballina,IE,2019-3-31 12:30,54.11,-9.15,50.0,66,75,5.82
312,Kaniv,UA,2019-3-31 12:31,49.76,31.46,48.4,78,0,5.73
313,Dingle,PH,2019-3-31 12:28,11.0,122.67,75.76,74,0,11.88
314,Torbay,CA,2019-3-31 12:17,47.66,-52.73,63.0,50,75,19.46
315,Huaicheng,CN,2019-3-31 12:31,23.91,112.19,57.4,100,92,3.38
316,Juneau,US,2019-3-31 11:56,58.3,-134.42,44.6,65,20,5.82
317,Ostersund,SE,2019-3-31 12:21,63.18,14.64,32.0,67,20,9.17
318,Harper,US,2019-3-31 12:25,30.3,-99.24,51.01,42,75,6.93
319,Banjar,ID,2019-3-31 12:27,-7.37,108.54,70.27,96,76,2.26
320,Souillac,FR,2019-3-31 12:20,45.6,-0.6,69.8,30,0,11.41
321,Steinbach,CA,2019-3-31 12:31,49.53,-96.69,39.0,51,20,5.82
322,Ponta Delgada,PT,2019-3-31 12:31,37.73,-25.67,59.0,72,40,17.22
323,Lodja,CD,2019-3-31 12:31,-3.52,23.6,81.25,76,36,3.15
324,Gemena,CD,2019-3-31 12:31,3.25,19.78,81.79,76,20,1.48
325,Mayskiy,RU,2019-3-31 12:0,43.63,44.06,44.6,48,8,10.42
326,George,NG,2019-3-31 12:31,6.63,3.35,86.92,70,20,8.63
327,Quimperle,FR,2019-3-31 12:30,47.87,-3.55,62.01,59,0,3.36
328,Berlevag,NO,2019-3-31 11:50,70.86,29.09,30.2,86,75,35.57
329,Mehamn,NO,2019-3-31 11:50,71.03,27.85,30.2,68,40,29.97
330,Clyde River,CA,2019-3-31 12:0,70.47,-68.59,5.0,77,75,4.7
331,Vila Franca do Campo,PT,2019-3-31 12:24,37.72,-25.43,59.0,72,40,17.22
332,Senneterre,CA,2019-3-31 12:0,48.39,-77.24,21.2,53,75,12.75
333,Tucurui,BR,2019-3-31 12:30,-3.77,-49.67,73.69,100,92,2.93
334,Labranzagrande,CO,2019-3-31 12:32,5.56,-72.58,68.92,100,56,1.92
335,Sinnar,IN,2019-3-31 12:32,19.85,74.0,65.86,62,0,3.94
336,Lokosovo,RU,2019-3-31 12:23,61.13,74.84,30.22,90,92,10.76
337,Fort Nelson,CA,2019-3-31 11:0,58.81,-122.69,35.6,69,40,3.36
338,Awjilah,LY,2019-3-31 12:30,29.14,21.3,63.07,37,0,10.42
339,Shelburne,CA,2019-3-31 12:26,44.08,-80.2,37.0,86,90,17.22
340,Kulhudhuffushi,MV,2019-3-31 12:32,6.62,73.07,85.12,100,0,0.36
341,Sola,NO,2019-3-31 12:20,58.89,5.65,39.2,55,40,16.11
342,Sao Filipe,CV,2019-3-31 12:24,14.9,-24.5,72.25,91,0,17.47
343,Westport,IE,2019-3-31 12:22,53.8,-9.52,51.01,66,75,5.82
344,Reitz,ZA,2019-3-31 12:32,-27.8,28.43,64.87,55,80,3.83
345,Hervey Bay,AU,2019-3-31 12:30,-25.3,152.85,64.0,88,0,6.93
346,Merauke,ID,2019-3-31 12:25,-8.49,140.4,75.49,100,76,8.63
347,Marrakesh,MA,2019-3-31 12:0,31.63,-7.99,64.4,55,40,11.41
348,Aracati,BR,2019-3-31 12:29,-4.56,-37.77,81.34,92,76,7.18
349,Hobyo,SO,2019-3-31 12:25,5.35,48.53,80.35,81,56,10.76
350,Laguna,MX,2019-3-31 11:46,27.52,-110.01,78.8,26,5,6.93
351,Nagato,JP,2019-3-31 12:19,34.35,131.14,46.0,75,75,13.87
352,Iqaluit,CA,2019-3-31 12:22,63.75,-68.52,10.4,78,75,12.75
353,Damnoen Saduak,TH,2019-3-31 12:30,13.52,99.95,91.0,66,12,7.85
354,Heyang,CN,2019-3-31 12:32,26.1,107.47,45.25,99,92,3.83
355,Paamiut,GL,2019-3-31 12:25,61.99,-49.67,26.35,100,64,9.75
356,Sorong,ID,2019-3-31 12:32,-0.86,131.25,81.52,100,32,6.17
357,Mecca,SA,2019-3-31 12:23,21.43,39.83,70.81,36,24,10.2
358,Kamaishi,JP,2019-3-31 12:25,39.28,141.86,32.65,88,92,6.4
359,Bilma,NE,2019-3-31 12:23,18.69,12.92,79.45,10,0,7.07
360,Praia,BR,2019-3-31 12:0,-20.25,-43.81,82.4,42,40,3.36
361,Campoverde,IT,2019-3-31 12:32,41.54,12.73,60.01,81,5,3.36
362,Nemuro,JP,2019-3-31 12:24,43.32,145.57,29.14,100,8,5.61
363,Moron,VE,2019-3-31 12:25,10.49,-68.2,76.75,88,68,3.04
364,Bar-le-Duc,FR,2019-3-31 12:32,48.77,5.16,64.4,32,0,8.05
365,Kuvshinovo,RU,2019-3-31 12:32,57.03,34.18,40.75,61,36,17.92
366,Diu,IN,2019-3-31 12:32,20.71,70.98,75.67,35,0,8.52
367,Elbistan,TR,2019-3-31 12:32,38.2,37.19,37.78,87,44,2.48
368,Mount Isa,AU,2019-3-31 11:30,-20.73,139.49,62.6,48,0,5.82
369,Bubaque,GW,2019-3-31 12:26,11.28,-15.83,91.33,70,0,6.62
370,Bauchi,NG,2019-3-31 12:32,10.31,9.85,86.74,24,0,5.95
371,Mayo,CA,2019-3-31 12:0,63.59,-135.9,35.6,51,75,3.6
372,Vestmannaeyjar,IS,2019-3-31 12:0,63.44,-20.27,37.4,93,90,17.22
373,Haines Junction,CA,2019-3-31 12:25,60.75,-137.51,29.41,63,0,2.71
374,Praxedis Guerrero,MX,2019-3-31 12:15,31.37,-106.02,53.01,29,1,17.22
375,Pangnirtung,CA,2019-3-31 11:0,66.15,-65.72,6.8,71,75,4.7
376,Sisimiut,GL,2019-3-31 12:24,66.94,-53.67,17.35,94,64,3.71
377,Burnie,AU,2019-3-31 12:32,-41.05,145.91,45.0,86,0,13.0
378,Opuwo,NA,2019-3-31 12:31,-18.06,13.84,74.95,59,76,3.94
379,Vitim,RU,2019-3-31 12:32,59.44,112.57,10.33,64,8,2.37
380,Metro,ID,2019-3-31 12:32,-5.11,105.31,79.0,89,8,7.74
381,Airai,TL,2019-3-31 12:24,-8.93,125.41,64.69,86,0,1.36
382,Cooma,AU,2019-3-31 12:30,-36.24,149.13,36.52,86,12,2.59
383,Sistranda,NO,2019-3-31 12:24,63.73,8.83,37.0,80,75,18.34
384,Beatrice,US,2019-3-31 12:32,40.27,-96.75,46.99,48,1,6.93
385,Fortuna,ES,2019-3-31 12:25,38.18,-1.13,57.99,93,75,5.82
386,Winchester,GB,2019-3-31 12:29,51.06,-1.31,53.6,61,0,11.41
387,Hualmay,PE,2019-3-31 12:32,-11.1,-77.61,75.85,72,20,6.17
388,Tyukalinsk,RU,2019-3-31 12:32,55.87,72.2,31.57,88,80,14.23
389,Vostok,RU,2019-3-31 12:25,46.45,135.83,21.04,82,80,1.7
390,Pearl Lagoon,NI,2019-3-31 12:0,12.34,-83.67,86.0,66,40,4.7
391,Ixtapa,MX,2019-3-31 12:25,20.71,-105.21,77.0,61,5,8.05
392,Zhicheng,CN,2019-3-31 12:32,35.04,112.59,36.97,58,0,1.92
393,Dudinka,RU,2019-3-31 12:30,69.41,86.18,28.96,91,88,21.94
394,Waitati,NZ,2019-3-31 12:30,-45.75,170.57,63.0,77,20,11.01
395,Vila Velha,BR,2019-3-31 12:21,-3.71,-38.6,84.0,100,8,1.01
396,Phalaborwa,ZA,2019-3-31 12:0,-23.95,31.14,78.8,47,0,3.36
397,Coihaique,CL,2019-3-31 11:0,-45.58,-72.07,64.4,45,0,32.21
398,Longkou,CN,2019-3-31 12:32,37.64,120.47,44.71,77,64,11.99
399,Inhambane,MZ,2019-3-31 12:0,-23.87,35.38,71.6,78,20,8.41
400,Mwanza,TZ,2019-3-31 12:0,-2.52,32.9,75.2,78,20,1.59
401,Sakaiminato,JP,2019-3-31 12:18,35.55,133.23,42.8,100,75,4.7
402,Ciudad Guayana,VE,2019-3-31 12:32,8.32,-62.69,96.73,40,0,6.62
403,Vidim,CZ,2019-3-31 12:32,50.47,14.53,54.0,57,0,6.93
404,Lexington,US,2019-3-31 12:30,38.05,-84.5,43.0,48,75,14.99
405,Ahuimanu,US,2019-3-31 12:30,21.44,-157.84,73.99,77,90,3.27
406,Katsuura,JP,2019-3-31 12:4,33.93,134.5,46.99,65,20,16.11
407,Araceli,PH,2019-3-31 12:32,10.55,119.99,81.97,96,0,23.06
408,Bima,ID,2019-3-31 12:32,-8.45,118.73,74.05,100,80,2.26
409,Auki,NG,2019-3-31 12:25,12.18,6.51,90.25,20,0,6.06
410,Meoqui,MX,2019-3-31 11:40,28.27,-105.48,59.0,33,5,18.34
411,Umm Kaddadah,SD,2019-3-31 12:19,13.6,26.69,76.57,15,0,8.3
412,Madaoua,NE,2019-3-31 12:32,14.07,5.96,95.65,16,12,7.74
413,Bambanglipuro,ID,2019-3-31 12:26,-7.95,110.28,72.43,99,32,2.37
414,Tubuala,PA,2019-3-31 12:31,9.52,-79.03,93.99,55,40,9.17
415,Flin Flon,CA,2019-3-31 12:0,54.77,-101.88,30.2,42,90,11.41
416,Abejorral,CO,2019-3-31 12:0,5.79,-75.43,80.6,56,40,11.41
417,Gavle,SE,2019-3-31 12:32,60.67,17.14,36.0,37,20,11.21
418,Buraydah,SA,2019-3-31 12:0,26.33,43.97,75.2,53,40,5.82
419,Jiuquan,CN,2019-3-31 12:32,39.73,98.49,24.28,67,0,3.15
420,Berdigestyakh,RU,2019-3-31 12:30,62.1,126.7,6.37,70,0,2.26
421,Tabas,IR,2019-3-31 12:0,33.6,56.92,73.4,28,92,2.24
422,Aras,YE,2019-3-31 12:30,14.28,44.38,56.14,37,0,4.5
423,Mackenzie,CA,2019-3-31 12:0,55.34,-123.09,42.8,56,1,6.93
424,Bowen,AU,2019-3-31 12:31,-20.01,148.25,78.01,69,90,9.17
425,Aleksandrov Gay,RU,2019-3-31 12:32,50.14,48.57,39.58,86,64,12.1
426,Esmeraldas,BR,2019-3-31 12:0,-19.76,-44.31,82.4,42,40,3.36
427,Canby,US,2019-3-31 12:30,45.26,-122.69,61.0,62,1,2.15
428,Udachnyy,RU,2019-3-31 12:31,66.42,112.4,25.72,72,48,6.06
429,Batagay-Alyta,RU,2019-3-31 12:25,67.8,130.41,-7.4,28,0,2.37
430,Cherskiy,RU,2019-3-31 12:28,68.75,161.3,-9.74,35,0,2.15
431,Gizo,IL,2019-3-31 12:32,31.8,34.94,59.0,76,40,4.7
432,Nara,JP,2019-3-31 12:30,34.68,135.8,46.4,65,92,19.46
433,Mayumba,GA,2019-3-31 12:26,-3.44,10.65,82.42,92,48,6.4
434,Buala,SB,2019-3-31 12:25,-8.15,159.59,79.36,100,92,4.16
435,Taoudenni,ML,2019-3-31 12:25,22.68,-3.98,76.66,37,0,10.31
436,Lagoa,PT,2019-3-31 12:22,37.14,-8.45,64.99,77,75,4.7
437,Dubbo,AU,2019-3-31 12:32,-32.25,148.6,41.02,86,0,2.93
438,Lyubech,UA,2019-3-31 12:32,51.7,30.66,53.8,61,24,9.98
439,Sandy Bay,AU,2019-3-31 12:31,-42.9,147.33,48.2,66,20,8.05
440,Duncan,US,2019-3-31 12:30,34.5,-97.96,50.0,31,1,10.29
441,Itoman,JP,2019-3-31 12:22,26.12,127.67,62.6,59,75,10.29
442,Kushima,JP,2019-3-31 12:32,31.5,131.29,42.01,60,20,8.01
443,Kankon,IN,2019-3-31 12:31,15.02,74.02,82.33,100,0,5.61
444,Kerchevskiy,RU,2019-3-31 12:32,59.95,56.29,29.5,77,68,8.52
445,Predivinsk,RU,2019-3-31 12:32,57.07,93.44,32.83,87,20,6.51
446,Strzelce Krajenskie,PL,2019-3-31 12:32,52.88,15.53,40.75,58,0,10.2
447,Ossora,RU,2019-3-31 12:32,59.24,163.07,29.23,93,88,11.54
448,Melilla,EC,2019-3-31 12:0,-0.8,-80.23,80.6,83,75,4.7
449,Medak,IN,2019-3-31 12:17,18.05,78.27,87.01,27,0,5.99
450,Zarichne,UA,2019-3-31 12:32,51.81,26.13,55.15,55,8,12.66
451,Lasa,CY,2019-3-31 12:15,34.92,32.53,55.4,87,75,2.24
452,Guanambi,BR,2019-3-31 12:32,-14.22,-42.78,82.87,64,0,7.18
453,Sencha,UA,2019-3-31 12:32,50.26,33.34,48.49,81,0,7.85
454,Enumclaw,US,2019-3-31 12:32,47.2,-121.99,61.0,58,1,5.82
455,Portland,US,2019-3-31 12:24,45.52,-122.67,61.0,58,75,6.93
456,Weiden,DE,2019-3-31 12:32,49.81,7.3,60.8,76,0,5.82
457,Alyangula,AU,2019-3-31 11:0,-13.85,136.42,78.8,88,75,18.03
458,Glenwood Springs,US,2019-3-31 12:27,39.55,-107.33,46.99,53,1,1.7
459,Sheffield Lake,US,2019-3-31 12:27,41.49,-82.1,30.99,68,90,13.87
460,Ninghai,CN,2019-3-31 12:31,29.29,121.42,52.0,87,0,2.24
461,Payson,US,2019-3-31 12:30,40.04,-111.73,50.0,52,1,5.82
462,Key West,US,2019-3-31 12:28,47.93,-96.78,33.8,99,75,9.17
463,Manavalakurichi,IN,2019-3-31 12:0,8.13,77.3,87.8,70,40,4.7
464,Gualaquiza,EC,2019-3-31 12:32,-3.4,-78.58,70.27,78,80,2.15
465,Kiruna,SE,2019-3-31 11:50,67.86,20.23,24.8,68,0,14.99
466,El Retorno,CO,2019-3-31 12:32,2.33,-72.63,83.86,78,44,3.27
467,Waingapu,ID,2019-3-31 12:32,-9.65,120.26,72.25,100,32,2.37
468,Caceres,CO,2019-3-31 12:32,5.53,-74.53,83.23,60,32,2.37
469,Manjacaze,MZ,2019-3-31 12:32,-24.71,33.88,76.3,55,0,9.98
470,Petersburg,US,2019-3-31 12:30,37.23,-77.4,66.99,58,90,4.7
471,Praia da Vitoria,PT,2019-3-31 12:15,38.73,-27.07,60.01,72,40,27.54
472,Pitimbu,BR,2019-3-31 12:0,-7.47,-34.81,80.6,94,75,2.24
473,Rome,IT,2019-3-31 12:22,41.89,12.48,61.0,51,0,3.36
474,East Stroudsburg,US,2019-3-31 12:32,41.0,-75.18,52.0,98,90,8.05
475,Price,US,2019-3-31 12:31,39.6,-110.81,48.0,31,1,10.29
476,Borovichi,RU,2019-3-31 12:32,58.39,33.91,38.77,77,92,14.34
477,Jiangyou,CN,2019-3-31 12:32,31.78,104.73,48.31,87,68,2.15
478,Onega,RU,2019-3-31 12:32,63.91,38.09,19.33,71,12,4.5
479,Tacuarembo,UY,2019-3-31 12:31,-31.73,-55.98,81.43,85,48,4.38
480,Naryan-Mar,RU,2019-3-31 12:32,67.67,53.09,25.72,80,56,16.46
481,Kem,UG,2019-3-31 12:29,2.68,33.77,70.9,71,48,4.38
482,Lundazi,ZM,2019-3-31 12:32,-12.29,33.17,69.46,78,36,5.28
483,Dayong,PH,2019-3-31 12:32,11.74,122.04,80.08,99,0,18.25
484,North Bend,US,2019-3-31 12:25,43.41,-124.22,52.0,100,90,3.36
485,North Adams,US,2019-3-31 12:31,42.7,-73.11,46.99,93,90,10.29
486,Alekseyevsk,RU,2019-3-31 12:32,57.84,108.35,17.17,75,44,3.49
487,Sept-Iles,CA,2019-3-31 12:23,50.2,-66.38,36.0,100,90,16.11
488,College,US,2019-3-31 12:25,64.86,-147.8,37.99,92,1,4.72
489,Chuari Khas,IN,2019-3-31 12:32,32.43,76.02,45.25,58,0,2.37
490,Camacha,PT,2019-3-31 12:0,33.08,-16.33,64.4,63,20,12.75
491,Rio Bueno,JM,2019-3-31 12:0,18.47,-77.46,84.2,74,20,16.11
492,Homer,US,2019-3-31 12:23,59.64,-151.54,45.0,65,1,3.36
493,Axim,GH,2019-3-31 12:27,4.87,-2.24,83.77,97,0,10.87
494,Saint-Pierre,FR,2019-3-31 12:25,48.95,4.24,66.99,28,0,8.05
495,Abu Samrah,SY,2019-3-31 12:24,35.3,37.18,50.92,97,92,3.15
496,Muros,ES,2019-3-31 12:21,42.77,-9.06,68.0,58,40,8.05
497,Mangai,CD,2019-3-31 12:25,-4.07,19.59,80.8,85,0,2.82
498,Tiznit,MA,2019-3-31 12:27,29.7,-9.73,60.37,92,64,5.61
499,Ganganagar,IN,2019-3-31 12:32,16.78,77.13,68.74,87,8,3.49
500,Kouango,CF,2019-3-31 12:32,4.99,19.98,83.32,72,8,2.93
501,Basco,US,2019-3-31 12:31,40.33,-91.2,39.99,44,1,6.93
502,Upington,ZA,2019-3-31 12:0,-28.46,21.24,84.2,26,0,2.24
503,Uruzgan,AF,2019-3-31 12:32,32.93,66.63,30.49,68,8,1.7
504,Ritchie,ZA,2019-3-31 12:0,-29.03,24.6,77.0,44,0,9.17
505,Bijar,IR,2019-3-31 12:32,35.87,47.6,38.95,96,100,3.6
506,Ribas do Rio Pardo,BR,2019-3-31 12:25,-20.45,-53.76,89.8,48,12,4.94
507,Nueva Italia,PY,2019-3-31 12:0,-25.61,-57.47,80.6,74,0,3.36
508,Saint-Joseph,FR,2019-3-31 12:21,43.56,6.97,57.2,54,0,3.36
509,Chara,GR,2019-3-31 11:50,39.42,22.43,53.6,53,0,5.82
510,Obo,CF,2019-3-31 12:32,5.39,26.49,79.09,66,0,5.17
511,Watertown,US,2019-3-31 12:26,44.9,-97.12,44.01,52,90,19.46
512,Kenai,US,2019-3-31 12:32,60.55,-151.26,39.99,80,1,5.82
513,Alice Springs,AU,2019-3-31 11:30,-23.7,133.88,53.6,37,0,7.52
514,Santa Rosa,AR,2019-3-31 12:32,-36.62,-64.29,82.15,58,76,13.44
515,Flinders,AU,2019-3-31 12:20,-34.58,150.85,57.99,73,32,2.93
516,Dharapuram,IN,2019-3-31 12:0,10.74,77.53,80.6,78,0,6.93
517,Kathmandu,NP,2019-3-31 11:50,27.71,85.32,57.2,71,20,3.36
518,Bannur,IN,2019-3-31 12:32,12.33,76.86,81.43,36,36,4.61
519,Nioro,GM,2019-3-31 12:28,13.79,-15.05,92.86,34,88,6.29
520,Neka,IR,2019-3-31 12:0,36.65,53.3,51.8,93,90,4.7
521,Rundu,NA,2019-3-31 12:32,-17.91,19.77,81.07,30,20,5.5
522,Labuhan,ID,2019-3-31 12:27,-2.54,115.51,72.7,95,20,0.92
523,Qazvin,IR,2019-3-31 11:0,36.28,50.01,46.4,100,90,2.24
524,Zhezkazgan,KZ,2019-3-31 12:32,47.8,67.71,47.5,85,76,12.66
525,Batemans Bay,AU,2019-3-31 12:18,-35.71,150.18,57.0,84,0,1.01
526,Qaqortoq,GL,2019-3-31 11:50,60.72,-46.03,23.0,45,20,10.29
527,Gubkinskiy,RU,2019-3-31 12:32,64.43,76.5,31.57,89,80,12.21
528,Marawi,PH,2019-3-31 12:15,8.0,124.29,69.01,84,0,7.0
529,Hurricane,US,2019-3-31 12:20,37.18,-113.29,61.0,33,1,8.05
530,Kavaratti,IN,2019-3-31 12:23,10.57,72.64,83.95,100,0,9.98
531,Balkanabat,TM,2019-3-31 12:24,39.51,54.36,41.29,85,76,6.17
532,Le Mars,US,2019-3-31 12:31,42.79,-96.17,45.0,44,90,14.99
